Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_MQR_FeeEarner_T01_Launch_Application/legal-mqr,4,126,116,167,167,167,97,167,0.000%,.00396,0.02,0.00
01_MQR_FeeEarner_T01_Launch_Application,4,126,116,167,167,167,97,167,0.000%,.00394,0.02,0.00
01_MQR_FeeEarner_T02_Enter_Email_Continue/auth/discover?redirectUri=https%3A%2F%2Fapps.oneadvanced.io%2Fparseauth%3FredirectUri%3Dhttps%253A%252F%252Fapps.oneadvanced.io%252Flegal-mqr,4,121,115,134,134,134,110,134,0.000%,.00396,0.02,0.00
01_MQR_FeeEarner_T02_Enter_Email_Continue,4,121,115,134,134,134,110,134,0.000%,.00394,0.02,0.00
01_MQR_FeeEarner_T03_Choose_Organisation_Continue/auth/organization-selected-646,4,205,195,239,239,239,155,239,0.000%,.00395,0.03,0.01
01_MQR_FeeEarner_T03_Choose_Organisation_Continue,4,205,195,239,239,239,155,239,0.000%,.00394,0.03,0.01
01_MQR_FeeEarner_T04_Verifyuser_Continue/auth/realms/one-advanced-legal-uat/login-actions/authenticate?session_code=cxNfi480Knw92MzW56esi5VCQCgGYG6qOipjpIOw0J4&execution=5f101b86-6905-469f-9526-1c5693ef5ab4&client_id=advancedsso&tab_id=3ZCQ7sjZqyE-650,4,28,29,30,30,30,24,30,0.000%,.00395,0.02,0.01
01_MQR_FeeEarner_T04_Verifyuser_Continue,4,28,29,30,30,30,24,30,0.000%,.00394,0.02,0.01
01_MQR_FeeEarner_T05_Enter_Password_Continue/auth/realms/one-advanced-legal-uat/login-actions/authenticate?session_code=-KKNYxyDAFBkAHX6yNNJz-c6pAowyE3cX1NeRrVrBZY&execution=af5073fc-629a-45f9-8f68-20cfa46255ac&client_id=advancedsso&tab_id=3ZCQ7sjZqyE-658,4,599,462,858,858,858,396,858,0.000%,.00395,0.05,0.06
01_MQR_FeeEarner_T05_Enter_Password_Continue/parseauth-664,4,162,153,200,200,200,141,200,0.000%,.00395,0.02,0.04
01_MQR_FeeEarner_T05_Enter_Password_Continue,4,762,615,1058,1058,1058,537,1058,0.000%,.00392,0.07,0.10
01_MQR_FeeEarner_T05_Homepage/legal-mqr-666,12,154,122,246,246,277,94,277,0.000%,.01075,0.05,0.05
01_MQR_FeeEarner_T05_Homepage/api/product-service/v2/platform-ui-bootstrap-670,12,104,98,113,113,142,89,142,0.000%,.01076,0.01,0.05
01_MQR_FeeEarner_T05_Homepage/userinfo-669,12,71,42,116,116,141,30,141,0.000%,.01076,0.01,0.05
01_MQR_FeeEarner_T05_Homepage/api/1.0/client/auth-675,12,155,157,175,175,178,135,178,0.000%,.01076,0.00,0.01
01_MQR_FeeEarner_T05_Homepage/api/1.0/client/auth-676,12,140,137,144,144,182,135,182,0.000%,.01077,0.01,0.01
01_MQR_FeeEarner_T05_Homepage/api/mqr/v1/departments-680,12,421,141,813,813,2215,117,2215,0.000%,.01076,0.02,0.05
01_MQR_FeeEarner_T05_Homepage/api/mqr/v1/compliance-dashboard-686,12,8945,87,29806,29806,30111,68,30111,0.000%,.01078,0.16,0.05
01_MQR_FeeEarner_T05_Homepage/api/mqr/v1/compliance-executions-681,12,6215,4493,10445,10445,11571,2405,11571,0.000%,.01102,0.02,0.05
